ruta,fecha_real,autor,titulo,seccion,mes,vistas,clics_search,clics_discover,clics_news,trafico_total,posicion,impresiones_search
/actualidad/quien-es-celia-cuccittini-madre-lionel-messi,2026-08-09 01:00:35,Edwin Lozada,¿Quién es Celia Cuccittini? La historia de la madre de Lionel Messi,actualidad,2026-08,2157.0,968.0,0.0,0.0,3125.0,4.86,52836.0
/money-invest/daily-news/actualidad-eclipse-solar-en-vivo-hoy-12-agosto-2026,2026-08-12 12:17:10,Edwin Lozada,"Eclipse solar EN VIVO hoy, 12 de agosto de 2026: horarios y dónde verlo",daily news,2026-08,2124.0,790.0,3.0,1.0,2918.0,4.36,39892.0
/actualidad/lluvia-de-meteoros-perseidas-como-y-cuando-verla-en-republica-dominicana,2026-08-12 20:11:32,Elba Reyes,Lluvia de meteoros Perseidas: cómo y cuándo verla en República Dominicana,actualidad,2026-08,1945.0,747.0,0.0,1.0,2693.0,2.84,19321.0
/actualidad/los-paises-del-mundo-donde-no-se-podra-ver-el-eclipse-solar-del-12-de-agosto-y-la-explicacion-astronomica,2026-08-10 19:50:50,Elba Reyes,Los países del mundo donde no se podrá ver el eclipse solar del 12 de agosto y la explicación astronómica,actualidad,2026-08,1774.0,795.0,0.0,1.0,2570.0,5.2,28657.0
/actualidad/resultados-de-leidsa-del-miercoles-6-de-agosto-de-2026-en-republica-dominicana,2026-08-06 12:26:55,Andrea Mercedes,Resultados de Leidsa del miércoles 5 de agosto de 2026 en República Dominicana,actualidad,2026-08,1693.0,734.0,0.0,0.0,2427.0,6.82,24348.0
/technology/devices/iphone-18-en-septiembre-la-razon-por-la-que-apple-no-lanzara-el-modelo-base,2026-08-03 20:39:50,Elba Reyes,iPhone 18 en septiembre: La razón por la que Apple no lanzará el modelo base,devices,2026-08,1608.0,731.0,0.0,0.0,2339.0,3.55,24511.0
/actualidad/estuve-casada-melissa-nunez-aclara-su-pasado-y-pide-respetar-su-vida-privada,2026-08-01 15:25:33,Elba Reyes,«Estuve casada»: Melissa Núñez aclara su pasado y pide respetar su vida privada,actualidad,2026-08,1602.0,73.0,623.0,10.0,2308.0,3.09,1601.0
/technology/devices/uber-cierra-un-acuerdo-millonario-para-quedarse-con-pedidosya-y-dominar-el-reparto-a-domicilio,2026-08-13 16:07:57,Elba Reyes,Uber cierra un acuerdo millonario para quedarse con PedidosYa y dominar el reparto a domicilio,devices,2026-08,2282.0,16.0,5.0,1.0,2304.0,6.21,879.0
/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-martes-4-de-agosto,2026-08-04 14:22:15,Elba Reyes,"Juegos Centroamericanos Santo Domingo 2026: agenda de hoy, martes 4 de agosto",sport business,2026-08,1545.0,654.0,14.0,0.0,2213.0,4.83,42659.0
/empresas/sport-business/juegos-centroamericanos-santo-domingo-2026-agenda-de-hoy-jueves-6-de-agosto,2026-08-06 15:18:36,Elba Reyes,"Juegos Centroamericanos Santo Domingo 2026: agenda de hoy, jueves 6 de agosto",sport business,2026-08,1559.0,619.0,12.0,2.0,2192.0,4.83,34258.0
