pagina,url,fuente_campo,overall_category_campo,lcp_campo_ms,lcp_campo_ms_categoria,cls_campo_x100,cls_campo_x100_categoria,inp_campo_ms,inp_campo_ms_categoria,score_laboratorio,lcp_lab,cls_lab,fcp_lab,error
Home,https://revistamercado.do/,página específica,AVERAGE,2522,AVERAGE,8,FAST,148,FAST,47,82.8 s,0.02,5.0 s,
Actualidad,https://revistamercado.do/actualidad/,página específica,AVERAGE,2919,AVERAGE,11,AVERAGE,202,AVERAGE,48,27.6 s,0,5.0 s,
Money Invest,https://revistamercado.do/money-invest/,página específica,AVERAGE,2919,AVERAGE,11,AVERAGE,202,AVERAGE,57,28.0 s,0,5.0 s,
Lifestyle,https://revistamercado.do/lifestyle/,página específica,AVERAGE,2919,AVERAGE,11,AVERAGE,202,AVERAGE,55,34.4 s,0,4.8 s,
