video_id,titulo,fecha_publicacion,duracion_seg,pct_reproducido,duracion_promedio_vista,vistas,horas_reproduccion,categoria,es_short,ingresos_usd
N7-jOI-UdaY,Claves de éxito en crecimiento empresarial de MUSA,"Jul 27, 2026",30,78.35,0:00:23,133,0.4193,Empresarios / Liderazgo,True,0.009
JenpbYq6jTA,Raffaella y Emanuela Delfino - Presidente y VP de Finanzas - Consorcio Remix,"Dec 11, 2020",568,44.2,0:04:11,6,0.4185,Empresarios / Liderazgo,False,0.023
VR1ccID2Qqs,Panel: Logística 4.0: El nuevo ADN de la conectividad,"May 19, 2025",1497,48.83,0:12:10,2,0.4061,Otros / Institucional,False,
Z70RK6gN8fw,Mercado Octubre - Cover Story: Los Poma,"Sep 21, 2016",245,48.59,0:01:59,12,0.3968,Otros / Institucional,False,0.128
kEeDNDPZGdM,Terremotos e inundaciones en Venezuela: la crisis humanitaria sigue en aumento,"Jun 29, 2026",86,29.74,0:00:25,79,0.3941,Noticias breves (geopolítica/actualidad),True,0.004
X6KHuqiv1Vk,Roberto Stark Parte 2,"May 30, 2019",1317,14.97,0:03:17,7,0.3835,Otros / Institucional,False,0.001
oVCtM4Bbmqo,¿Conoces las cinco mejores ciudades para vivir en 2026,"Jul 7, 2026",107,133.97,0:02:23,27,0.3641,Otros / Institucional,True,0.003
1UPh3fZgVOw,Ataque con drones y misiles Irán desafía la seguridad de la región,"May 28, 2026",89,79.68,0:01:10,36,0.3577,Noticias breves (geopolítica/actualidad),True,0.003
Z4YTZjrKnyI,¿Por qué República Dominicana será la próxima potencia logística? Grupo Rannik,"May 6, 2025",452,47.28,0:03:33,6,0.3562,Otros / Institucional,False,
SMbadRW24hM,"Para Irán ni paz, ni guerra mientras Trump reactiva las amenazas","Jun 10, 2026",75,73.18,0:00:54,43,0.3536,Noticias breves (geopolítica/actualidad),True,0.002
T3fL_dgX8pw,Las dinastías del poder: controlan la riqueza empresarial en EEUU,"Jul 1, 2026",136,51.65,0:01:10,39,0.3362,Noticias breves (geopolítica/actualidad),True,0.003
pkiReMIUO-s,Trump bajo el fuego crítico y Rubio contra el Senado,"Jun 2, 2026",92,80.87,0:01:14,25,0.3318,Noticias breves (geopolítica/actualidad),True,0.002
MeaiDjz9VS8,La nueva era gastronómica de Santo Domingo,"Jul 15, 2026",94,90.58,0:01:25,36,0.3142,Otros / Institucional,True,0.003
pBxKpU3IsHs,Raúl Rizek: Oportunidades y futuro del sector construcción en República Dominicana,"Sep 30, 2025",278,66.34,0:03:04,6,0.3074,Otros / Institucional,False,
4b2XFyVD1hU,GLP 1 - Impacto económico de los nuevos hábitos de consumo,"May 7, 2026",100,75.83,0:01:15,16,0.2951,Otros / Institucional,True,0.001
eswczmi1PwY,Tragedia en Venezuela: suben las víctimas y continúan las réplicas,"Jun 26, 2026",91,38.99,0:00:35,38,0.2888,Noticias breves (geopolítica/actualidad),True,0.003
uwYRnem0B1w,República Dominicana derrota a Venezuela en el Clásico Mundial de Béisbol 2026,"Mar 12, 2026",50,47.87,0:00:23,61,0.2876,Noticias breves (geopolítica/actualidad),True,0.003
vpH8Pb58KaU,David Collado: transformando la ciudad con un equipo joven.,"Nov 15, 2019",809,17.49,0:02:21,7,0.2751,Otros / Institucional,False,
92oOJrePRJw,El Súper Niño amenaza la estabilidad económica regional,"May 19, 2026",92,54.23,0:00:49,28,0.2667,Otros / Institucional,True,0.003
WsLmWTSofyk,Nuevos bombardeos de EE UU sacude el tablero geopolítico,"May 26, 2026",76,80.66,0:01:01,34,0.2586,Noticias breves (geopolítica/actualidad),True,0.002
u5G_2nlisQ8,Se eleva la tension global Irán responde: hay implicaciones en comercio energetico,"Mar 25, 2026",109,53.54,0:00:58,18,0.2432,Noticias breves (geopolítica/actualidad),True,0.001
LQSEGASv70I,El nuevo símbolo del campeón la FIFA entregará anillos por primera vez en un Mundial,"Jul 18, 2026",108,58.27,0:01:02,46,0.2385,Deportes,True,0.003
VZrNfq2_h4U,ICE bajo la lupa: dos muertes más en operativos migratorios,"Jul 14, 2026",135,27.32,0:00:36,34,0.1697,Otros / Institucional,True,0.003
