Contenido,Título del video,Tiempo de publicación del video,Duración,Porcentaje promedio reproducido (%),Duración promedio de vistas,Vistas,Tiempo de reproducción (horas),Ingresos estimados (USD)
Vf8jCyC93wI,"Israel desafía a la Casa Blanca: ""nos vincula el acuerdo entre Trump e Irán  V01""","Jun 15, 2026",85,97.49,0:01:22,60986,997.8865,
JVrzJXcwxkI,La arqueóloga dominicana que logró lo inimaginable – Dra. Kathleen Martínez Ep.2,"Dec 9, 2024",402,40.02,0:02:40,21180,946.5746,
F3zZU_xYy10,¿Fuerzas armadas o soldados de Trump?  La agresiva estrategia de Pete Hegseth,"Jun 9, 2026",91,97.24,0:01:28,55520,941.1027,
dGeaaT6EzOs,Aumenta la tensión entre Estados Unidos e Iran,"Mar 30, 2026",70,96.4,0:01:07,61427,818.3299,
4xIZpj05kXA,La guerra que no para: El EE  UU- Irán se enciende junto al conflicto de Hezbollah,"Jun 1, 2026",94,93.44,0:01:27,43150,769.2801,
2oRus5S6mUA,Guerra inminente: EE  UU  e Irán rompen el pacto de paz con bombardeos masivos,"Jul 9, 2026",84,102.71,0:01:26,50300,753.4518,
1UPh3fZgVOw,Ataque con drones y misiles Irán desafía la seguridad de la región,"May 28, 2026",89,97.56,0:01:26,44186,719.818,
ZNJa0CPBPkI,El pulso de un “dando y dando” marca la crisis en Ormuz,"Apr 27, 2026",125,98.72,0:02:03,30520,679.6264,
Ub59dfodKvU,"La guerra con Irán: Trump, la OTAN y la incertidumbre global","Apr 2, 2026",89,88.72,0:01:18,37890,642.6184,
eb7j3XDV8FA,Catástrofe sísmica en Venezuela declaran estado de emergencia tras dos potentes terremotos,"Jun 25, 2026",101,63.51,0:01:04,66698,633.6972,
l7K7Zk8PDHc,¿Perdió Trump el control militar de Israel? Netanyahu ignoró las advertencias de la Casa Blanca,"Jun 8, 2026",87,100.78,0:01:27,35366,588.5353,
n5pRBmJqD8Y,El inicio del viaje tras la pista de Cleopatra - Dra. Kathleen Martínez Ep.1,"Dec 6, 2024",467,39.1,0:03:02,10748,545.2165,
GVLJTIO9EFg,Fuerte abucheo contra el presidente Donald Trump,"Jun 9, 2026",76,89.12,0:01:07,38940,518.5632,
nxhFit8GfE0,Trump y Xi Jinping la batalla por Taiwán y el conflicto con Irán,"May 14, 2026",104,88.01,0:01:31,31278,495.6983,
bNQE74ftIwQ,La tragedia sísmica en Colombia escala el balance preliminar deja terribles cifras,"Aug 11, 2026",132,88.16,0:01:56,22009,474.8496,
ED0RuIxS1K0,La guerra sacude los mercados internacionales,"Jul 14, 2026",86,107.15,0:01:32,28597,463.3485,
tNjvI2Nk7BE,Trump asegura que EE  UU  mantiene capacidad militar y advierte que los ataques podrían reanudarse,"Jul 28, 2026",94,97.38,0:01:31,24746,441.3811,
dxPmeyn6PnQ,Trump marca línea firme: No habrá arma nuclear ni peajes en Ormuz,"May 22, 2026",85,94.19,0:01:20,26651,400.0668,
5i03Od7sUPE,Revolucionarios Iraniés atentan contra el posible acuerdo de paz,"Apr 22, 2026",97,81.13,0:01:18,22875,387.9886,
