Contenido,Título del video,Tiempo de publicación del video,Duración,Porcentaje promedio reproducido (%),Duración promedio de vistas,Vistas,Tiempo de reproducción (horas),Ingresos estimados (USD)
CsI1TPa2b0c,El costoso regreso de Escobar: Inversión de US$3 millones por episodio,"Apr 29, 2026",98,76.43,0:01:14,1567,21.2967,
Ol3-JYN5x3I,Comentarios racistas contra Mbappé desatan una crisis política,"Jul 10, 2026",101,62.89,0:01:03,1826,21.0258,
hJ1skNfvxSQ,¿Quién era «El Mencho»? La historia del narco más buscado,"Feb 24, 2026",36,104.39,0:00:37,3536,20.8926,
q_ZC3nVmIY4,Importancia del conflicto del Estrecho de Ormuz,"Mar 23, 2026",85,76.55,0:01:05,1693,20.7903,
aK_HE1vCQqQ,"LA CASSINA y CASA LUCA, un binomio gastronómico que trasciende modas en RD","Aug 15, 2023",139,53.5,0:01:14,989,20.4302,
GnGIbFkNR2Y,Doblete Sísmico de Venezuela y el Cinturón de Fuego:  Fenómenos Paralelos Sin Nexo Científico,"Jun 25, 2026",94,114.46,0:01:47,1025,19.4758,
q1uV5JXjn4k,Discurso del presidente Luis Abinader ante la tensión entre Irán e Israel.,"Mar 24, 2026",95,62.66,0:00:59,1768,19.3648,
Cv4WkcLoORI,Canita: Cerveza hecha en RD que triunfa en grande,"Apr 16, 2024",664,38.55,0:04:15,263,18.7013,
a9AgUJ5J-r0,Petróleo roza los 120 dólares y las bolsas se desploman por guerra en Oriente Medio,"Mar 12, 2026",61,73.98,0:00:45,2397,18.5623,
584c70ZpUJc,Entrevista difícil con Álvaro Uribe - Patricia Janiot,"Oct 16, 2024",56,74.81,0:00:41,2192,18.5235,
85-qksxYXiM,Elecciones de Perú: El conteo más reñido de su historia,"Jun 8, 2026",92,59.05,0:00:54,2055,18.3593,
G1blvNGXuXE,Salario Mínimo en Latinoamérica: ¿Es Suficiente para Vivir?,"May 1, 2026",118,77.85,0:01:31,1234,18.0727,
ID_nUJbLKHs,Descubrimos cimientos del Templo griego anterior a Taposiris Magna – Dra. Kathleen Martínez,"Jan 1, 2025",40,93.61,0:00:37,2448,17.9022,
7LQtC4u2wH4,"Innovación y 'mindset' digital para crear campañas de éxito, por Yasser Mármol (Liquid)","Apr 10, 2024",1927,39.05,0:12:32,85,17.765,
ovzEiew8uhU,¿Por qué gana el populismo? Albert Rivera lo explica desde dentro de la política,"Jan 15, 2026",1338,26.21,0:05:50,177,17.2314,
hYd2-_IVRwk,Nueva alarma sanitaria mundial por Ébola emite hoy la OMS,"May 18, 2026",92,67.34,0:01:01,1638,17.0572,
s4RNgBWCK3U,"El Catador: 25 años de evolución de mercado, cultura de vino y amistad - Mercado Podcast","Jul 26, 2024",3271,13.4,0:07:18,138,16.8,
AgHgojw8aSg,Messi y Yamal: la increíble historia detrás 19 años 1 final,"Jul 17, 2026",84,70.92,0:00:59,2004,16.7144,
nXOkxhvy9S0,¿Y si la educación realmente se adaptara a cada niño? | María Fondeur y Yazmín Estrella,"May 14, 2026",868,29.91,0:04:19,231,16.6567,
4J2NADZF-Gw,Cómo Arajet transformó el precio de volar en RD: la visión de Víctor Pacheco,"Apr 14, 2026",687,38.89,0:04:27,221,16.3997,
1fIxLDGNBE0,Isabel Rojas,"Jul 4, 2025",71,47.09,0:00:33,2490,16.3546,
Z9znXI7ujOc,Emprendedores dominicanos cuentan sus historias - VISIÓN EMPRENDEDORA 2017,"Jun 30, 2017",216,50.81,0:01:49,525,16.0044,
YKENzBmOmdU,"Sismo de 7.5 sacude Japón: más de 170,000 evacuados","Apr 20, 2026",82,60.19,0:00:49,1744,15.9524,
Fekr1-vdgCY,Hecho histórico - Aterrizaje Artemis II,"Apr 13, 2026",93,63.16,0:00:58,1786,15.9029,
DtbF-bJgrAU,Documental Mercado Education 2026,"May 25, 2026",1303,18.37,0:03:59,234,15.5582,
jifjE2pWpPo,"Fútbol, fortuna y visión empresarial inversiones fuera de la cancha","Jun 29, 2026",124,76.18,0:01:34,1041,15.0441,
WI8Sf7x_iZ4,"Messi y Vozinha dos leyendas, dos formas de hacer historia","Jun 16, 2026",106,69.83,0:01:14,1446,15.0141,
NWtf8SeCR8M,Citi proyecta el precio del dólar a RD$66.6 para 2027: ¿Qué significa Esto?,"Apr 30, 2026",102,67.78,0:01:09,1371,14.2215,
1zZv3hri7qo,Machado cara a cara con Trump tras la caída de Maduro,"Jan 16, 2026",30,102.98,0:00:30,2826,13.9204,
Mr1d-cN2FT4,El camino de más de tres décadas que ha convertido a ODONTODOM en un referente,"Oct 23, 2023",2381,58.46,0:23:11,36,13.9182,
0Ca3EqKblFE,La revolución automotriz tiene nuevos protagonistas,"Jul 16, 2026",126,79.02,0:01:39,925,13.9076,
VeZ3dOWb_g8,Las acciones que despiertan interés tras lo sucedido en Venezuela,"Jan 13, 2026",31,109.1,0:00:33,2454,13.6467,
hLfBxTGikAA,Roberto Stark - Parte 1,"Jun 3, 2019",1815,28.84,0:08:43,93,13.5226,
uPf0Z0kdi24,Conversaciones con el Dr. Enrique Rojas Episode 1 - Mercado Podcast,"Aug 8, 2024",416,54.96,0:03:48,209,13.2739,
RZnh4vrJEjI,La plataforma que busca transformar las exportaciones dominicanas | RANNIK,"May 12, 2026",618,28.72,0:02:57,258,12.72,
o8fmfug3UBY,Bad Bunny - Latin Grammy 2025,"Nov 18, 2025",78,41.56,0:00:32,2237,12.5377,
xlhu8INYrnc,Cómo Fersan transforma el campo dominicano con ciencia y sostenibilidad,"Aug 28, 2025",286,41.68,0:01:59,376,12.4511,
Nrs0YLH06go,Ranking Numbeo 2026 Uruguay lidera la calidad de vida en América Latina,"Jul 2, 2026",95,68.7,0:01:05,1111,12.3254,
c5vsKM4mVB0,Cilpen: Cumpliendo con los 17 Objetivos de Desarrollo Sostenible,"Mar 21, 2022",306,42.78,0:02:10,337,12.2529,
XZGJAeE6TJg,Tarifa eléctrica en aumento: petróleo y gas presionan los precios,"May 7, 2026",99,62.79,0:01:02,1015,12.1654,
BBt-DWbHX5s,¿Vale menos una medalla centroamericana que una olímpica?,"Aug 5, 2026",111,76.83,0:01:25,809,12.1587,
oysKJ1N4dQg,"Pasajeros aislados pisan tierra, pero aumentan los casos tras evacuación","May 11, 2026",100,72.23,0:01:12,1036,11.9772,
LQSEGASv70I,El nuevo símbolo del campeón la FIFA entregará anillos por primera vez en un Mundial,"Jul 18, 2026",108,47.15,0:00:50,1436,11.9284,
Y57yjkKS9JU,¿Conoces la multimillonaria logística de transporte de la directiva de la FIFA?,"Jun 24, 2026",113,66.76,0:01:15,1078,11.8655,
Vw6XupyTMN0,"Los países de América Latina que más crecerán en 2026, según las proyecciones del PIB","Jan 22, 2026",45,90.85,0:00:40,1895,11.8489,
ldpMCSOjtn0,¿Cómo es el amor verdadero? Dr. Enrique Rojas en Mercado Podcast,"Aug 20, 2024",29,113.69,0:00:32,1902,11.4301,
bqH3-tMv380,¿Por qué República Dominicana lidera el ranking mundial de las mejores playas de lationamérica?,"Jul 8, 2026",99,67.76,0:01:07,1052,11.2716,
f5MerbkTwjo,Crucero con 1700 personas en cuarentena por brote y fallecimiento a Bordo,"May 13, 2026",78,56.73,0:00:44,1488,11.2256,
hsBVMUTbhZ4,"Ted Turner, el arquitecto del imperio visual","May 6, 2026",103,53.33,0:00:54,1056,10.8551,
Hlvjq9JCyxk,Por qué la empatía es clave en la relación médico-paciente,"Sep 26, 2023",356,39.62,0:02:21,275,10.7732,
sjZJ1pxwXzg,Karol G ¿llevará a Bad Bunny a Coachella 2026? Lo que sabemos del festival,"Apr 18, 2026",147,28.36,0:00:41,4168,10.6927,
b_CVDgtz2nY,Monorriel de Santo Domingo ¿Como cambiará el tráfico?,"Mar 30, 2026",58,67.56,0:00:39,1525,10.415,
7QVih0tWxWQ,Lego Edition: ¿La campaña de marketing deportivo más exitosa de la historia?,"Apr 7, 2026",86,47.98,0:00:41,1452,10.1573,
3JzXsll31uE,"Teotihuacán, escenario de tragedia: turismo, seguridad y riesgo en discusión","Apr 21, 2026",87,63.53,0:00:55,1080,10.1137,
oVCtM4Bbmqo,¿Conoces las cinco mejores ciudades para vivir en 2026,"Jul 7, 2026",107,72.39,0:01:17,877,9.9964,
wfyCaOjNMrQ,El joven senador con su propia forma de pensar - Omar Fernandez,"Nov 11, 2024",536,27.69,0:02:28,234,9.6488,
0EJ_AkUSQNI,Raquel Arbaje: Cómo entiende el poder la primera dama de RD,"Mar 15, 2025",1266,29.42,0:06:12,92,9.5174,
WhxSmfv7Hzw,Tupaq: de una idea a una red nacional,"Aug 3, 2026",506,42.97,0:03:37,155,9.3606,
WXxnwTp_bCQ,La alianza Velutini-Selman redefine el desarrollo inmobiliario en República Dominicana,"Oct 13, 2025",379,32.35,0:02:02,272,9.2634,
JQc7Pz-AT04,Saymon Díaz: Innovación en el Entretenimiento en RD - Mercado Interview,"May 17, 2024",1669,15.84,0:04:24,126,9.2503,
5-PO8pf492M,DOMINICAN WATCHMAN. Historia de un referente en seguridad,"Mar 27, 2024",2532,10.74,0:04:31,121,9.1399,
nr59eb0CgFw,Ráfagas destructiva: El evento que expuso la fragilidad de Santo Domingo,"Apr 14, 2026",103,58.01,0:00:59,983,9.1306,
5QzZOipxzNs,Zohran Mamdani - El nuevo alcalde de NY,"Nov 28, 2025",88,56.43,0:00:49,1250,8.9245,
LG4z2ktk2Vc,Family Values - De Fundadores a Primos  El Desafío Generacional Patrimonial Dominicano,,1551,28.65,0:07:24,71,8.7647,
asXGSwbEO_o,La admiración es clave: Dr. Enrique Rojas Mercado Podcast,"Aug 18, 2024",48,101.15,0:00:48,1112,8.727,
IWPMwEUFa0s,"José Luis Cordeiro: ""¿Te imaginas un mundo sin muerte?""","Apr 25, 2022",282,50.46,0:02:22,219,8.6556,
7ZqlqgxfUp0,Iván Duque: El mundo VICA llegó para quedarse,"Jun 18, 2025",2042,31.33,0:10:39,48,8.5295,
mG6V9ifRqQY,"Tercera generación, una misma palabra: liderar respetando el tiempo y el equipo | Alejandro Fondeur","Jan 19, 2026",577,31.96,0:03:04,164,8.4011,
_GHiGwXLAMI,Del crucero a los aeropuertos: Hantavirus amplía el mapa de vigilancia,"May 12, 2026",96,41.88,0:00:40,1160,8.2398,
duEh_BhYkl0,México lidera el medallero y RD alcanza una marca histórica,"Jul 27, 2026",122,48.95,0:00:59,861,8.2305,
_uRN3mw5JqM,"""Equilibrio familiar: Clave para el futuro profesional de las mujeres""- Patricia Janiot Ep. 3","Nov 16, 2024",1054,52.63,0:09:14,53,8.166,
eKhk4pR4UBc,¿Cuáles son las nuevas tendencias en la comunicación?,"Jul 12, 2023",326,39.77,0:02:09,226,8.1401,
nTHaEn5IKgU,Infantino sigue perdiendo respaldo,"Aug 3, 2026",112,55.31,0:01:01,716,8.0439,
LvVCVGRMrWo,¡Empate en los Oscars! solo ha ocurrido en siete ocasiones,"Mar 18, 2026",56,52.85,0:00:29,1908,8.0028,
X6KHuqiv1Vk,Roberto Stark   Parte 2,"May 30, 2019",1317,34.07,0:07:28,64,7.9766,
NPna8njZi4o,Maria Corina Machado - Premio nobel de la paz,"Dec 11, 2025",47,90.65,0:00:42,1486,7.9561,
Os9KohyfnJs,Proyectos inmobiliarios que perduran en el tiempo: El legado de Luis Velutini,"Dec 17, 2024",382,46.42,0:02:57,160,7.8816,
cV47gtFgzL8,La otra carrera de Marileidy Paulino construir talento después de conquistar el mundo,"Aug 14, 2026",100,61.6,0:01:01,627,7.6842,
o-1-3wU2W-4,¿Cómo forjar una marca personal sólida y trascender en el tiempo? - Patricia Janiot Ep. 4,"Nov 21, 2024",567,26.1,0:02:28,186,7.6468,
CNOZ_BdcYfo,Un ícono de pasión y perseverancia en el mundo del tabaco - Inspiración en la Industria Tabacalera,"Jun 4, 2024",1211,39.39,0:07:56,57,7.5524,
2TXTHeCqKyw,Venezuela hace historia al ganar su primer Clásico Mundial de Béisbol 2026,"Mar 18, 2026",49,75.01,0:00:36,1418,7.4295,
oVLCc_rBSNA,Elon Musk - Sobre la Inteligencia Artificial,"Nov 25, 2025",51,63.89,0:00:32,1537,7.3603,
U3C7xq4MXkI,Energy Summit 2025 - ONE TO ONE - Celso Marranzini La Deuda Cultural del Sistema Electrico,"Jun 17, 2025",1139,44.67,0:08:28,52,7.3499,
JenpbYq6jTA,Raffaella y Emanuela Delfino - Presidente y VP de Finanzas - Consorcio Remix,"Dec 11, 2020",568,35.7,0:03:22,130,7.3224,
4q-VdPl375o,Bonos de Venezuela se disparan tras giro político,"Jan 9, 2026",44,88.31,0:00:38,1165,7.2833,
o-xz75s8ATQ,Jorge Rosas.  Mejores Empresas Para Trabajar 2019.,"Jul 16, 2019",4076,15.14,0:10:17,42,7.1989,
FffOV3dcEm8,¿Sabías este dato acerca de Los Leones del Escogido?,"Jan 30, 2026",49,84.08,0:00:41,1176,7.0588,
2LeA0vrSaKY,Europa dividida la batalla por el control de sus fronteras,"Aug 4, 2026",102,106.77,0:01:48,367,6.9891,
_6V00DZkuwk,Elon Musk asegura que su robot cambiará el mundo,"Oct 27, 2025",34,68.6,0:00:23,1962,6.8404,
D23gDYzOV1w,Mercedes Ramos: una serena sirena al mando de Grupo Ramos,"Oct 20, 2021",353,34.74,0:02:02,199,6.7786,
WfwEqI5IbXY,Ranking de los terremotos más poderosos de la República Dominicana,"Feb 19, 2026",36,104.77,0:00:37,1117,6.7445,
T6JWdWunkfo,Ley de Tabaco y Vapeo en Reino Unido: ¿El fin de una industria millonaria?,"Apr 22, 2026",98,47.39,0:00:46,902,6.7359,
nvV-H7Drnog,ZOEMAR: El éxito en el sector inmobiliario de RD basado en el trato al cliente,"Aug 6, 2024",527,33.43,0:02:56,136,6.656,
le9sshni5Z4,"Cómo el liderazgo, la innovación y la constancia impulsan el éxito empresarial | José Ernesto Abud","Oct 15, 2025",409,24.32,0:01:39,240,6.6304,
t1cjEnSdWJE,Cuando un milímetro cambia una vida: la precisión detrás de la cirugía robótica | Rene Sotelo,"Dec 19, 2025",560,20.57,0:01:55,204,6.5266,
eAW8WeVG6KM,"Cómo la INTELIGENCIA ARTIFICIAL está cambiando a periodistas y medios, por Miguel Ángel Ordóñez","Aug 31, 2023",296,37.68,0:01:51,209,6.4747,
Cow9vbg4XVc,TOP 10 de las universidades del mundo,"Jul 3, 2026",92,54.45,0:00:50,921,6.4598,
0YDyY25w5Ow,Conoce los premios del Clásico Mundial,"Mar 18, 2026",52,64.54,0:00:33,1117,6.4222,
fZrUGY0I2qg,TECH SUMMIT 2025 Conferencia ¿Cómo Reinventarte en un Mundo Cada Vez Más Digital?,"Apr 12, 2025",2855,19.63,0:09:20,41,6.3832,
ps7HR_pMVMw,Casa Fiori: el lujo de lo hecho a mano en República Dominicana,"Aug 15, 2025",479,31.18,0:02:29,152,6.3062,
phdvPExQSJk,El contenido de tu móvil te puede impedir el ingreo a Estados Unidos,"Feb 3, 2026",45,72.54,0:00:32,1144,6.2672,
dDFgiIuZIjs,Bad Bunny recibe distinción institucional,"Feb 16, 2026",68,40.41,0:00:27,1367,6.2396,
NNUZzB-88LM,Entrevista exclusiva a Antonio y Agustín Lama - 40 under 40,"Nov 14, 2018",183,50.99,0:01:33,239,6.1943,
FlFwafyREag,Entrevista a Félix García Presidente de Afconagro,"Jul 20, 2018",701,33.07,0:03:51,96,6.1826,
5NIC2lEpA7M,Santo Domingo 2026 RD vuelve al centro del deporte regional,"Jul 24, 2026",115,39.46,0:00:45,797,6.099,
tMSpk_EWV4o,La República Dominicana consolida su liderazgo turístico en el Caribe,"Dec 2, 2025",44,67.58,0:00:29,1407,5.9844,
g6aACCmV2xY,Bad Bunny impulsa el turismo en RD,"Nov 26, 2025",40,62.86,0:00:25,1836,5.9594,
8WwnRyZSmWc,Arquitectura pro-sísmica: lecciones de Chile para República Dominicana | Cristian Wittig,"Sep 22, 2025",760,20.75,0:02:37,136,5.9581,
N6xFa36DhIk,"Ciberseguridad, IA y empleos de futuro, por Harry Peralta (HarPer)","Feb 22, 2024",645,26.58,0:02:51,125,5.952,
xbqayoE_HUQ,El iPhone 18 Fold ya se deja ver: así sería el primer plegable de Apple,"Apr 10, 2026",65,43.16,0:00:28,1428,5.9096,
RIblULzEgsM,Ranking de las monedas más fuertes de América Latina,"Jul 6, 2026",73,66.07,0:00:48,862,5.8508,
vbW48GYiyQE,Conoce los 20 billonarios mas ricos de latinoamerica,"Jan 8, 2026",47,71.33,0:00:33,1129,5.8008,
SqmCij63v5A,El país sigue bajo alerta meteorológica,"Apr 16, 2026",79,50.36,0:00:39,951,5.6615,
x_cTrE1NQnA,"Entrevista exclusiva con Ligia Bonetti, presidente Grupo SID","Mar 23, 2018",521,23.47,0:02:02,164,5.5709,
vpH8Pb58KaU,David Collado: transformando la ciudad con un equipo joven.,"Nov 15, 2019",809,17.51,0:02:21,139,5.4694,
LFPxZt5q1Bg,"Vivian Acra de Marsh McLennan, una trayectoria inspiradora en los seguros","Dec 27, 2023",2408,14.81,0:05:56,55,5.4487,
zh0UZkelLk8,Mejores Empresas Para Trabajar en RD 2021,"Jul 21, 2021",10006,6.85,0:11:25,28,5.3283,
ss9l63wFing,"Hermanos Bonarelli: El secreto de ""El Catador"" detrás de 500 millones de copas","May 29, 2024",330,38.92,0:02:08,149,5.3152,
9JkcqtBKizk,"Hidrobombeo, solar y eólica: el plan que transformará la matriz energética dominicana - EGEHID","Jul 17, 2025",509,32.3,0:02:44,116,5.2982,
NEnjCyjexjc,El Catador y la revolución del vino con legado en Dominicana | Gonzalo Entrecanales,"Jun 27, 2025",568,19.65,0:01:51,170,5.271,
oun4nc5N_44,Medidas que salvarán la economía dominicana en 2026 y entran en vigencia ¡HOY!,"May 1, 2026",78,49.47,0:00:38,1026,5.2476,
FJHkPZJo4Kc,Emergencia Climática en República Dominicana,"Apr 14, 2026",70,59.94,0:00:41,805,5.131,
7QDWpxoJYRo,Homenaje a Fernandito Rainieri - Definición de un Superhéroe,"Nov 13, 2018",523,45.8,0:03:59,77,5.1239,
dcOyxwumCTs,La embajadora de EE. UU. en RD impulsa una agenda común de progreso y bienestar,"Dec 17, 2025",63,43.04,0:00:27,1125,4.9404,
4b2XFyVD1hU,GLP 1  - Impacto económico de los nuevos hábitos de consumo,"May 7, 2026",100,63.19,0:01:03,502,4.8974,
w7_RUNOv4Eg,Confirmado: SpaceX apunta a salir a bolsa en 2026 y esto es lo que cambia para los inversionistas,"Dec 16, 2025",39,71.4,0:00:27,1184,4.8758,
j8y0apk9WEE,¿Cómo formar estudiantes para un mundo que todavía no existe? | Saint Joseph School,"May 14, 2026",519,23.58,0:02:02,143,4.8613,
BpPLhcdmhoA,"Innovación legal y digital, por Luis Miguel Pereyra","Feb 6, 2024",725,23.86,0:02:52,101,4.853,
dGSJD0w1dZ8,"Dr. Rubén Peralta, un gigante de la diáspora dominicana","Dec 30, 2022",468,34.48,0:02:41,108,4.841,
YR3Ymk8Z4ZI,Tiendas Garrido: Apertura y expansión para dinamización de la economía,"May 24, 2021",295,37.45,0:01:50,157,4.8175,
UBDGk785D7U,Victoria Holtz: El mindset que ya no sirve y cómo reemplazarlo con IA,"Jul 4, 2025",514,25.53,0:02:11,132,4.8102,
zNK2yG4jMzo,Transformando el Agua: El Plan de Saneamiento del Ing. Wellington Arnaud para RD,"Mar 22, 2026",906,19.87,0:03:00,96,4.8002,
xvK9VqlIKqw,De la adversidad al éxito - La inspiradora historia de Indira Marielis Ramos y Hair Plus,"Jan 7, 2025",335,41.14,0:02:17,125,4.7855,
4XbCuBmtGTY,"Banco Santa Cruz: Crecimiento, Trascendencia y Valor para RD | Entrevista con Fausto Pimentel","Mar 18, 2025",329,31.48,0:01:43,167,4.7772,
gvI0MoULq4I,"Grupo Piñero a 50 años: innovación, expansión y propósito con Encarna Piñero","Mar 24, 2025",1507,18.57,0:04:39,61,4.7408,
bjktvQCGT4c,Revolución bancaria digital: QIK el primer neobanco 100% digital del país,"Sep 4, 2025",356,18.91,0:01:07,249,4.6573,
m0cPcOEQXPQ,Liderazgo e innovación para destacar en un mundo competitivo | Ramón Andrés Brenes,"Nov 11, 2025",208,34.96,0:01:12,229,4.6262,
7WX3Z3L3f6E,Cómo transformar el mercado de valores dominicano con innovación y credibilidad,"Aug 16, 2025",258,34.14,0:01:28,189,4.6241,
EKWQohPfcUY,Electrolinera  Carga Ultra Rápida para Vehículos Eléctricos,"Mar 4, 2025",40,79.87,0:00:31,710,4.6074,
hDtoZFS37t4,"""Siempre he buscado confrontar a los poderosos con la verdad"" - Patricia Janiot Ep. 01","Oct 10, 2024",573,36.18,0:03:27,80,4.6066,
BdIhvMO0Vwg,Red de interferencia y sabotaje chino contra EE  UU en investigación,"May 26, 2026",97,76.14,0:01:13,460,4.601,
QE0o4D92OhE,Louvre pierde joyas por 50 millones en robo histórico,"Oct 29, 2025",41,66.55,0:00:27,1731,4.5929,
3AKYB0OhAf8,De perder su empleo a crear uno de los talleres más grandes de República Dominicana,"Jul 27, 2026",707,24.56,0:02:53,93,4.4862,
KbaFnLylfWI,"De Haití a RD: migrar, invertir y crear comunidad en el boom inmobiliario","Nov 14, 2025",401,25.36,0:01:41,158,4.4627,
Z4YTZjrKnyI,¿Por qué República Dominicana será la próxima potencia logística?  | Grupo Rannik,"May 6, 2025",452,37.25,0:02:48,94,4.3958,
R1sl142VpI8,"Motorsport, Q5 y más: lo que viene para Audi en República Dominicana","Jun 12, 2026",408,31.51,0:02:08,122,4.3563,
mb3TkRrFYY4,Cómo la ubicación de RD la convierte en clave para el comercio mundial,"May 25, 2026",614,19.07,0:01:57,133,4.3258,
I5J6BieJrUo,"El liderazgo en seguros que pone a las personas al centro, con innovación y sostenibilidad","Dec 16, 2025",444,31.3,0:02:18,110,4.2459,
_CXeuGcckuk,DP World: El Impacto de las Zonas Francas en el Crecimiento Económico de República Dominicana,"Sep 2, 2024",321,41.72,0:02:13,114,4.2406,
se-vIfaDEBc,Shakira y Burna Boy encienden la inauguración del Mundial 2026,"Jun 11, 2026",90,69.35,0:01:02,641,4.1817,
5nOC7hC0MMI,Inclusión femenina: las barreras que frenan a las mujeres en el liderazgo - Jaime Ozores Ep.03,"Oct 3, 2024",750,58.97,0:07:22,34,4.1771,
84rLRdQR8u8,Abraham Hazoury - Power Talks,"Sep 15, 2020",981,16.56,0:02:42,91,4.1062,
XNikUz6UlXA,¿En qué ciudades se puede construir una carrera profesional sin sacrificar la calidad de vida?,"Jul 13, 2026",85,59.16,0:00:50,533,4.0789,
RCYJhNVo_Sc,Explota vehículo en el Distrito Financiero en Nueva York,"May 20, 2026",37,86.35,0:00:31,814,4.0735,
1NJiL00mtVs,¿Cómo Conquista Dave and Busters al Mundo del Entretenimiento?,"May 14, 2026",435,35.1,0:02:32,96,4.0718,
r8tFd1Yr15I,Mauricio De Vengoechea - Mercado Interview,"Jul 27, 2020",1621,26.68,0:07:12,33,3.9639,
J2zkeCxYmR0,RD apuesta por una industria verde y competitiva que trascienda fronteras,"Sep 5, 2025",487,13.77,0:01:07,206,3.8361,
7ZnzJyAxIxc,La biometría lo cambia todo: así se combate el fraude hoy | Jesús Aragon,"May 5, 2026",655,25.6,0:02:47,82,3.8197,
6Y9EoLjmzAE,Zara rompe con su historia en España y toma una decisión sin precedentes,"Jan 19, 2026",31,71.77,0:00:22,1044,3.7629,
fQbpfI0sLOU,Precios más bajos para medicamentos:  acuerdo que beneficia a millones,"Apr 24, 2026",101,48.28,0:00:48,536,3.7601,
l8wqzRHODAU,El triunfo de De la Espriella: rompe el mapa político de Sudamérica,"Jun 22, 2026",87,65.96,0:00:57,494,3.7574,
hzaN7oUNxqs,Cómo los Family Office aseguran la continuidad generacional | Raul Hoyo y María Redondo,"Oct 9, 2025",369,34.48,0:02:07,103,3.6406,
BGOxWAAPaaM,Transferencia de Tecnología  ¡El Secreto del Éxito Empresarial! 🚀,"Oct 21, 2025",26,81.04,0:00:21,1880,3.6143,
8f20RMEEj_Q,Rafaela Delfino,"Jun 3, 2019",559,25.82,0:02:24,90,3.6087,
LZTMVky26Do,"Asofidom, figura del fideicomiso esencial para el crecimiento de RD","Dec 29, 2021",322,58.43,0:03:08,69,3.606,
lgGWXn0gFbI,"Hecho en RD, pensado para el mundo: la visión de Cervecería Punta Cana","Apr 25, 2025",329,26.75,0:01:28,147,3.5936,
emLsSMS-ehg,Descubrimientos Arqueológicos en el Templo de Isis  – Dra. Kathleen Martínez,"Dec 13, 2024",53,80.77,0:00:42,452,3.5838,
F_T9uYmDoZk,Reconocimiento: Un aspecto a mejorar en la cultura latina - Jaime Ozores Ep. 4,"Oct 8, 2024",520,51.68,0:04:28,48,3.5833,
Hv5exgBCiQc,Banco Mundial prevé crecimiento de 4.5 % para RD en 2026,"Jan 15, 2026",38,60.24,0:00:22,1121,3.5824,
2l9GH7w36OE,El Ambicioso Plan de Crecimiento de Grupo Ramos: Una Mirada al Fideicomiso Público | Iván Mejía,"Apr 24, 2026",272,32.52,0:01:28,145,3.5632,
696Khn5vcoI,"36 años, inversión y energía limpia: el impacto de Armando Rodríguez en Seabord","Jun 12, 2026",540,20,0:01:47,118,3.5394,
GiKjvdEzuDo,Empresas internacionales en busca de talento dominicano: Jaime Ozores Ep. 01,"Oct 3, 2024",829,44.59,0:06:09,34,3.4913,
AmaiZMaJ8W8,Edward Veras: transformando el sector eléctrico dominicano,"Jun 12, 2026",497,25.72,0:02:07,98,3.4803,
4olBAVxb9xY,Roberto Ángel Salcedo presenta un nuevo modelo de gestión cultural Dominicana,"Aug 15, 2025",527,24.17,0:02:07,98,3.4668,
eNTImZSfsTo,Promipyme: Líder en Microcréditos y Desarrollo Empresarial de las MIPYMES en RD,"Jun 14, 2024",325,56.79,0:03:04,66,3.384,
FIAsl90v-Og,Juan Suárez - Co- fundador y Director Creativo Aristocrazy,"Nov 11, 2019",328,33.48,0:01:49,110,3.3555,
NOIX-1_YAs8,¿En que país es más barato comprar un Iphone?,"Jan 19, 2026",36,48.94,0:00:17,1278,3.3458,
ZiP1hviEGNo,Gabriel Escarrer: Qué opina el CEO mundial de Meliá Hotels,"Mar 16, 2025",67,68.67,0:00:46,343,3.2998,
SGgqS5ED5cc,Derecho en la era digital: ¿Cómo regular la Inteligencia Artificial (IA)? - Javier Cremades,"Oct 3, 2024",689,40.67,0:04:40,42,3.2694,
pBxKpU3IsHs,Raúl Rizek: Oportunidades y futuro del sector construcción en República Dominicana,"Sep 30, 2025",278,35.98,0:01:40,117,3.251,
xZQleaPN87o,El Catador - Innovación en Gestión Humana y crecimiento profesional en el sector de vinos,"Aug 8, 2024",296,46.93,0:02:18,82,3.1639,
dosx_Ww4drI,La adicción a las redes sociales ya tiene culpables: corte en EEUU  condena a Meta y Google,"Mar 26, 2026",84,64.05,0:00:53,300,3.1631,
Tz28g-8vD1I,¿Cómo la EGEHID está transformando la energía y el desarrollo de República Dominicana?,"Jul 15, 2026",557,21.51,0:01:59,95,3.1617,
W3aWou4xW4w,Seaboard y Energías Renovables: Un Futuro Sostenible y próspero para República Dominicana,"May 21, 2024",407,31.17,0:02:06,89,3.1367,
wqTNEOMv1cc,"Albert Rivera analiza el auge del populismo, la geopolítica y el rol de la moderación","Jan 15, 2026",65,40.97,0:00:26,877,3.1282,
OeylhBQUrI8,Superando desafíos en Egipto - Dra. Kathleen Martínez,"Dec 9, 2024",26,1648.04,0:07:08,42,3.0973,
knS8X573Dqo,Panel inspirador sobre empresas familiares en el sector automotriz dominicano: Family Values 2024,"Oct 1, 2024",3222,26.02,0:13:58,13,3.0269,
BhRRAYecaYk,40 Under Forty Role Model: Eduardo Cruz,"Nov 12, 2014",733,41.18,0:05:01,36,3.0182,
