mes,anio,vistas_sin_pauta
Enero,2025,148600
Febrero,2025,121700
Marzo,2025,29000
Abril,2025,55200
Mayo,2025,122900
Junio,2025,46000
Julio,2025,117700
Agosto,2025,211900
Septiembre,2025,422500
Octubre,2025,635100
Noviembre,2025,487000
Diciembre,2025,480700
Enero,2026,28936
Febrero,2026,17871
Marzo,2026,302702
Abril,2026,800950
Mayo,2026,548890
Junio,2026,2510590
Julio,2026,3567223
Agosto,2026,2403555
