autor,entidad,tipo,notas,confianza,meses_activos,mes_primero,mes_reciente,demanda_reciente_ratio,es_recurrente
Andrea Mercedes,Ormuz,entidad,2,baja,2,2026-03,2026-07,1.0,False
Andrea Mercedes,OVNIs,entidad,2,baja,2,2026-04,2026-05,0.0,False
Andrea Mercedes,quién ganará,tema,3,media,2,2026-05,2026-06,0.0,False
Andrea Mercedes,quién ganó,tema,3,media,2,2026-06,2026-07,0.0075392832984304565,False
Andrea Mercedes,sismo de magnitud,tema,2,baja,2,2026-07,2026-08,1.0,False
Andrea Mercedes,terremoto de venezuela,entidad,28,alta,2,2026-06,2026-07,1.0,False
Andrea Mercedes,terremoto en venezuela,tema,8,media,2,2026-06,2026-07,0.28299083321440005,False
Andrea Mercedes,US,entidad,4,media,2,2026-03,2026-07,0.9720715113693457,False
Andrea Mercedes,vida extraterrestre,tema,2,baja,2,2026-04,2026-05,0.0,False
Andrea Mercedes,adiós al tapón,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Anadegas,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Argentina,entidad,4,media,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Bono a Mil,entidad,2,baja,1,2026-08,2026-08,0.0,False
Andrea Mercedes,bono madre,tema,2,baja,1,2026-05,2026-05,0.0,False
Andrea Mercedes,Bukele,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,C,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Panamá,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Caribe,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Cepeda,entidad,2,baja,1,2026-06,2026-06,0.0,False
Andrea Mercedes,cierres viales,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Clásico Mundial,entidad,2,baja,1,2026-03,2026-03,0.0,False
Andrea Mercedes,Colombia De la Espriella,entidad,2,baja,1,2026-06,2026-06,0.0,False
Andrea Mercedes,Congreso,entidad,3,media,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Daniel Ortega,entidad,3,media,1,2026-07,2026-07,1.0,False
Andrea Mercedes,dominicana,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Donald Trump,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,elecciones de perú,tema,3,media,1,2026-06,2026-06,0.0,False
Andrea Mercedes,esperado túnel,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,está pasando,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,exigen la renuncia,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,famosa actriz,tema,2,baja,1,2026-07,2026-07,0.14389644521297543,False
Andrea Mercedes,FIFA,entidad,3,media,1,2026-07,2026-07,1.0,False
Andrea Mercedes,final del mundial,tema,5,media,1,2026-07,2026-07,0.2869128834200353,False
Andrea Mercedes,ganando en colombia,tema,2,baja,1,2026-06,2026-06,0.0,False
Andrea Mercedes,Iván Cepeda,entidad,2,baja,1,2026-05,2026-05,0.0,False
Andrea Mercedes,Juegos Centroamericanos y del Caribe Santo Domingo,entidad,8,media,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Ley,entidad,5,media,1,2026-07,2026-07,0.660357873242882,False
Andrea Mercedes,ley de residuos,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Luis Abinader,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Maduro,entidad,2,baja,1,2026-03,2026-03,0.0,False
Andrea Mercedes,Malvinas,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,María Corina Machado,entidad,2,baja,1,2026-05,2026-05,0.0,False
Andrea Mercedes,mes deberán,tema,2,baja,1,2026-03,2026-03,0.0,False
Andrea Mercedes,México,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,NASA,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,OnlyFans,entidad,2,baja,1,2026-03,2026-03,0.0,False
Andrea Mercedes,ONPE,entidad,2,baja,1,2026-06,2026-06,0.0,False
Andrea Mercedes,OTAN,entidad,3,media,1,2026-07,2026-07,1.0,False
Andrea Mercedes,León XIV,entidad,3,media,1,2026-06,2026-06,0.0,False
Andrea Mercedes,Plaza de la Bandera,entidad,6,media,1,2026-07,2026-07,1.0,False
Andrea Mercedes,primera vuelta,tema,2,baja,1,2026-06,2026-06,0.0,False
Andrea Mercedes,Nacionales,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,puerto,entidad,2,baja,1,2026-03,2026-03,0.0,False
Andrea Mercedes,RD del Bono,entidad,2,baja,1,2026-05,2026-05,0.0,False
Andrea Mercedes,real,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,reforma fiscal,tema,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,Gianni Infantino,entidad,2,baja,1,2026-07,2026-07,1.0,False
Andrea Mercedes,resultado final,tema,3,media,1,2026-06,2026-06,0.0,False
