autor,notas_totales,notas_en_canibalizacion,pct_canibalizacion
Edwin Lozada,21,5,23.8
Rodrigo Muñoz,28,4,14.3
Gabriel Rico Albarrán,35,4,11.4
Elba Reyes,321,24,7.5
Jhojhanni Fiorini,210,12,5.7
Andrea Mercedes,204,7,3.4
Agatha Thomas,5,0,0.0
Ana Sosa,52,0,0.0
Ashley Presinal,1,0,0.0
Darling Gil,21,0,0.0
Karime Rivas,33,0,0.0
Miguel Vega,17,0,0.0
Miranda Cross,2,0,0.0
pferreras,2,0,0.0
revistamercado,5,0,0.0
