periodo,periodo_inicio,periodo_fin,pagePath,pageTitle,screenPageViews,totalUsers,sessions,engagementRate,averageSessionDuration
anterior,2026-07-16,2026-08-01,/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,Medallero Juegos Centroamericanos 2026: tabla en vivo,31077,11057,19134,0.983119,103.05
actual,2026-08-02,2026-08-18,/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,Medallero Juegos Centroamericanos 2026: tabla en vivo,14070,4589,8404,0.985126,139.57
anterior,2026-07-16,2026-08-01,/money-invest/daily-news/aislamiento-base-tecnologia-edificios-antisismicos/,¿Qué es el aislamiento de base y por qué Chile y Japón lo utilizan?,11069,5047,7364,0.992667,143.83
actual,2026-08-02,2026-08-18,/money-invest/daily-news/cuantas-provincias-tendria-republica-dominicana-con-la-creacion-de-santa-lucia-y-matias-ramon-mella/,Las nuevas provincias que podrían cambiar el mapa de RD,10571,4779,7087,0.990264,115.98
actual,2026-08-02,2026-08-18,/,Revista Mercado. Negocios y economía en República Dominicana,10349,2325,4993,0.967555,235.88
actual,2026-08-02,2026-08-18,/money-invest/daily-news/cinturon-fuego-pacifico-paises-terremotos/,Cinturón de Fuego: países y por qué hay tantos terremotos,9813,4403,6150,0.983415,147.64
anterior,2026-07-16,2026-08-01,/,Revista Mercado. Negocios y economía en República Dominicana,9614,2149,4453,0.963620,235.49
anterior,2026-07-16,2026-08-01,/technology/devices/iphone-18-filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento/,iPhone 18: estas serían sus principales novedades y precio,9348,4006,5153,0.979624,161.84
anterior,2026-07-16,2026-08-01,/money-invest/daily-news/espana-trofeo-original-mundial-2026/,España no conservará el trofeo original del Mundial 2026,9241,3776,5003,0.989806,152.18
actual,2026-08-02,2026-08-18,/actualidad/revelan-la-causa-de-muerte-del-boxeador-prichard-colon-tras-casi-una-decada-de-secuelas/,Muere Prichard Colón: qué ocurrió en la pelea que cambió su vida,8757,3879,5333,0.989874,147.06
anterior,2026-07-16,2026-08-01,/actualidad/resultados-de-las-loterias-del-26-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 26 de julio de 2026 en República Dominicana - Revista Mercado,8093,2697,4087,0.996575,66.51
anterior,2026-07-16,2026-08-01,/technology/devices/iphone-18-pro-max-las-20-funciones-y-especificaciones-filtradas-antes-de-su-lanzamiento/,iPhone 18 Pro Max: todo lo que revelan las filtraciones de Apple,7710,3346,4323,0.975711,170.71
anterior,2026-07-16,2026-08-01,/autoshow-and-vision-emprendedora-2026/,AutoShow and Vision Emprendedora 2026 - Revista Mercado,7464,2649,4327,0.946152,170.55
actual,2026-08-02,2026-08-18,/money-invest/daily-news/terremoto-indonesia-hoy-14-agosto-2026/,"Terremoto en Indonesia hoy: sismo de 7,7 activa alerta",7329,3223,4298,0.991857,130.86
actual,2026-08-02,2026-08-18,/empresas/sport-business/cuantas-medallas-republica-dominicana-juegos-centroamericanos-2026/,¿Cuántas medallas lleva RD en Santo Domingo 2026?,7276,2955,4666,0.981354,92.28
actual,2026-08-02,2026-08-18,/empresas/sport-business/cuantas-medallas-suma-republica-dominicana-y-en-que-puesto-esta-en-los-juegos-centroamericanos/,Medallas de RD en Santo Domingo 2026: suma 98 preseas,6936,2846,4192,0.989981,100.55
actual,2026-08-02,2026-08-18,/vision-emprendedora-2026/,Visión Emprendedora 2026 - Revista Mercado,6331,2728,3286,0.994218,31.86
anterior,2026-07-16,2026-08-01,/technology/devices/cuando-sale-el-iphone-18-y-que-cambios-traera-el-nuevo-telefono-de-apple/,¿Cuándo sale el iPhone 18 y qué cambios traerá el nuevo teléfono de Apple? - Revista Mercado,6288,2746,3470,0.975504,165.40
anterior,2026-07-16,2026-08-01,/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/,"¿Quién ganará la Copa del Mundo? Las probabilidades de Argentina, Inglaterra y España según Opta - Revista Mercado",6214,2838,3750,0.983733,90.15
actual,2026-08-02,2026-08-18,/p/codigo-postal-santo-domingo/,Código postal en Santo Domingo: consulta la lista,6161,2430,3251,0.984313,66.10
actual,2026-08-02,2026-08-18,/money-invest/daily-news/como-funcionara-el-recorrido-directo-en-el-metro-de-santo-domingo-tras-eliminar-la-transferencia-en-la-estacion-maria-montez/,Así funcionará la Línea 2C del Metro de Santo Domingo sin transfer,5733,2526,3889,0.986115,95.19
anterior,2026-07-16,2026-08-01,/p/codigo-postal-santo-domingo/,Código postal en Santo Domingo: consulta la lista,5711,2247,3095,0.983522,65.76
actual,2026-08-02,2026-08-18,/event-detail/agrotech-summit-2/,Agrotech Summit,5472,1949,2988,0.958835,131.42
anterior,2026-07-16,2026-08-01,/technology/devices/en-que-colores-saldra-el-iphone-18-pro-max-las-filtraciones-del-nuevo-celular/,iPhone 18 Pro Max: estos serían sus nuevos colores en 2026,5311,2391,3004,0.988349,100.13
anterior,2026-07-16,2026-08-01,/actualidad/resultados-de-leidsa-del-sabado-18-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del sábado 18 de julio de 2026 en República Dominicana - Revista Mercado,5252,2004,2841,0.997888,91.99
anterior,2026-07-16,2026-08-01,/actualidad/mundial-2026-por-que-piden-repetir-la-final-del-mundial-entre-argentina-y-francia/,¿Se repetirá la final Argentina vs Francia? Esto dice la FIFA,5186,2363,3276,0.992063,55.74
anterior,2026-07-16,2026-08-01,/money-invest/daily-news/de-quien-son-las-malvinas-realmente-las-claves-para-entender-la-disputa-entre-argentina-y-el-reino-unido/,¿De quién son las Islas Malvinas?,5175,2293,3171,0.975402,173.66
actual,2026-08-02,2026-08-18,/actualidad/resultados-de-leidsa-del-sabado-1-de-agosto-de-2026-en-republica-dominicana/,Resultados de Leidsa del sábado 1 de agosto de 2026 en República Dominicana - Revista Mercado,5145,1954,2791,0.991759,108.78
actual,2026-08-02,2026-08-18,/technology/devices/giro-historico-en-apple-el-iphone-18-estandar-no-llegara-en-septiembre-y-se-aplaza-hasta-2027/,iPhone 18: Apple cambiaría su calendario de lanzamiento en 2026,4978,2239,2831,0.989050,122.25
actual,2026-08-02,2026-08-18,/technology/devices/todo-sobre-el-iphone-18-pro-y-iphone-18-pro-max-filtraciones-chip-de-2nm-camaras-y-precio-estimado/,"iPhone 18 Pro: A20 Pro, cámara variable y novedades de 2026",4853,2153,2775,0.983063,151.98
anterior,2026-07-16,2026-08-01,/actualidad/resultados-de-leidsa-del-miercoles-29-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 29 de julio en RD,4734,1874,2708,0.995199,76.90
actual,2026-08-02,2026-08-18,/actualidad/temblor-colombia-hoy-10-agosto-2026-magnitud-epicentro/,"Fuerte temblor sacudió a Colombia este lunes: fue de magnitud 6,7",4676,2036,2955,0.978342,130.79
actual,2026-08-02,2026-08-18,/event-detail/the-best-of-dr-2026/,The Best of DR,4424,2017,2654,0.985305,51.72
anterior,2026-07-16,2026-08-01,/suscribe/,Suscripciones - Revista Mercado,4378,1828,2675,0.986168,61.36
anterior,2026-07-16,2026-08-01,/actualidad/resultados-de-leidsa-del-miercoles-22-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 22 de julio en RD,4219,1708,2443,0.992223,78.38
anterior,2026-07-16,2026-08-01,/actualidad/resultados-de-las-loterias-del-28-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 28 de julio de 2026 en República Dominicana - Revista Mercado,4173,1651,2556,0.992567,77.08
anterior,2026-07-16,2026-08-01,/actualidad/por-que-los-dias-en-la-tierra-pasaran-a-durar-25-horas-y-a-partir-de-que-fecha-segun-la-ciencia/,¿La Tierra tendrá días de 25 horas? Esto dice la ciencia,4158,1930,2777,0.995319,74.40
anterior,2026-07-16,2026-08-01,/p/codigo-postal-santo-domingo-este/,Código postal Santo Domingo Este: aquí está la lista completa,3975,1488,2038,0.986261,102.24
anterior,2026-07-16,2026-08-01,/empresas/sport-business/el-equipo-ideal-del-mundial-2026-los-jugadores-elegidos-por-la-fifa/,Equipo ideal del Mundial 2026: la FIFA revela el once del torneo,3899,1670,2335,0.982441,148.27
actual,2026-08-02,2026-08-18,/suscribe/,Suscripciones - Revista Mercado,3886,1669,2459,0.986173,38.10
anterior,2026-07-16,2026-08-01,/actualidad/quienes-son-los-favoritos-para-ganar-el-balon-de-oro-2026-y-cuales-son-sus-estadisticas/,"Favoritos al Balón de Oro 2026: Kane, Yamal, Rodri y Mbappé",3771,1703,2265,0.985430,124.29
actual,2026-08-02,2026-08-18,/technology/devices/uber-cierra-un-acuerdo-millonario-para-quedarse-con-pedidosya-y-dominar-el-reparto-a-domicilio/,Uber compra Delivery Hero: ¿qué pasará con PedidosYa?,3768,1700,2457,0.993081,113.54
actual,2026-08-02,2026-08-18,/technology/devices/en-que-colores-saldra-el-iphone-18-pro-max-las-filtraciones-del-nuevo-celular/,iPhone 18 Pro Max: estos serían sus nuevos colores en 2026,3767,1671,2093,0.987100,92.06
actual,2026-08-02,2026-08-18,/event-detail/the-best-of-dr-region-norte/,The Best of DR – Región Norte,3744,1722,2197,0.988166,69.16
actual,2026-08-02,2026-08-18,/actualidad/resultados-de-las-loterias-del-02-de-agosto-de-2026-en-republica-dominicana/,Resultados de las loterías del 02 de agosto de 2026 en República Dominicana - Revista Mercado,3738,1410,2203,0.990921,114.54
actual,2026-08-02,2026-08-18,/p/codigo-postal-santo-domingo-este/,Código postal Santo Domingo Este: aquí está la lista completa,3718,1394,1883,0.992034,93.51
actual,2026-08-02,2026-08-18,/money-invest/daily-news/bono-a-mil-2026-2027-como-consultar-con-tu-cedula-si-tus-hijos-estan-en-la-lista/,Bono a Mil 2026-2027: verifica con tu cédula si tus hijos califican,3534,1490,2214,0.995483,75.92
anterior,2026-07-16,2026-08-01,/actualidad/resultados-de-las-loterias-del-15-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 15 de julio de 2026 en República Dominicana - Revista Mercado,3248,1276,2036,0.991159,90.37
actual,2026-08-02,2026-08-18,/actualidad/resultados-de-las-loterias-del-31-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 31 de julio de 2026,3223,1245,1915,0.993734,107.54
actual,2026-08-02,2026-08-18,/actualidad/resultados-de-las-loterias-del-05-de-agosto-de-2026-en-republica-dominicana/,Resultados de Loterías del 5 de agosto 2026 | Nacional y Leidsa,3212,1278,1934,0.994312,98.27
actual,2026-08-02,2026-08-18,/actualidad/resultados-de-las-loterias-del-16-de-agosto-de-2026-en-republica-dominicana/,Resultados de loterías de hoy 16 de agosto: Nacional y Leidsa,3129,1205,1798,0.993882,80.74
anterior,2026-07-16,2026-08-01,/money-invest/daily-news/records-espana-campeona-mundial-2026-2/,Récords de España tras ganar el Mundial 2026,3129,1267,1676,0.984487,141.14
anterior,2026-07-16,2026-08-01,/actualidad/resultados-de-leidsa-del-miercoles-15-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 15 de julio en RD,3018,1228,1765,0.992068,73.01
actual,2026-08-02,2026-08-18,/actualidad/resultados-de-las-loterias-del-03-de-agosto-de-2026-en-republica-dominicana/,Resultados de la lotería del 3 de agosto,2943,1181,1819,0.995602,99.38
anterior,2026-07-16,2026-08-01,/actualidad/resultados-de-las-loterias-del-19-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 19 de julio de 2026 en República Dominicana - Revista Mercado,2767,1099,1703,0.994128,78.44
anterior,2026-07-16,2026-08-01,/event-detail/agrotech-summit-2/,Agrotech Summit,2764,1105,1626,0.958795,121.33
anterior,2026-07-16,2026-08-01,/money-invest/daily-news/expertos-advierten-gran-terremoto-republica-dominicana/,República Dominicana enfrenta alto riesgo de un gran terremoto,2758,1198,1640,0.969512,204.75
