periodo,periodo_inicio,periodo_fin,pagePath,pageTitle,screenPageViews,totalUsers,sessions,engagementRate,averageSessionDuration
actual,2026-07-26,2026-08-11,/empresas/sport-business/medallero-juegos-centroamericanos-2026-en-vivo/,Medallero Juegos Centroamericanos 2026: tabla en vivo,45047,14802,26760,0.981203,117.43
anterior,2026-07-09,2026-07-25,/empresas/sport-business/quien-ganara-la-copa-del-mundo-las-probabilidades-de-argentina-inglaterra-y-espana-segun-opta/,"¿Quién ganará la Copa del Mundo? Las probabilidades de Argentina, Inglaterra y España según Opta - Revista Mercado",18084,8203,10968,0.991977,87.59
anterior,2026-07-09,2026-07-25,/autoshow-and-vision-emprendedora-2026/,AutoShow and Vision Emprendedora 2026 - Revista Mercado,15240,5727,8882,0.961608,139.07
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/aislamiento-base-tecnologia-edificios-antisismicos/,¿Qué es el aislamiento de base y por qué Chile y Japón lo utilizan?,11155,5088,7398,0.993782,144.07
anterior,2026-07-09,2026-07-25,/,Revista Mercado. Negocios y economía en República Dominicana,9924,2282,4693,0.956531,220.50
actual,2026-07-26,2026-08-11,/,Revista Mercado. Negocios y economía en República Dominicana,9702,2067,4575,0.965902,241.76
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-las-loterias-del-26-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 26 de julio de 2026 en República Dominicana - Revista Mercado,9252,3055,4680,0.995726,68.77
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/espana-trofeo-original-mundial-2026/,España no conservará el trofeo original del Mundial 2026,8960,3667,4826,0.991919,153.48
actual,2026-07-26,2026-08-11,/technology/devices/en-que-colores-saldra-el-iphone-18-pro-max-las-filtraciones-del-nuevo-celular/,iPhone 18 Pro Max: estos serían sus nuevos colores en 2026,8493,3751,4786,0.987254,96.97
anterior,2026-07-09,2026-07-25,/suscribe/,Suscripciones - Revista Mercado,8333,3481,5386,0.987375,49.66
actual,2026-07-26,2026-08-11,/technology/devices/iphone-18-pro-max-las-20-funciones-y-especificaciones-filtradas-antes-de-su-lanzamiento/,iPhone 18 Pro Max: todo lo que revelan las filtraciones de Apple,7990,3450,4488,0.977050,171.74
actual,2026-07-26,2026-08-11,/empresas/sport-business/cuantas-medallas-republica-dominicana-juegos-centroamericanos-2026/,¿Cuántas medallas lleva RD en Santo Domingo 2026?,7248,2947,4641,0.981254,92.65
actual,2026-07-26,2026-08-11,/empresas/sport-business/cuantas-medallas-suma-republica-dominicana-y-en-que-puesto-esta-en-los-juegos-centroamericanos/,Medallas de RD en Santo Domingo 2026: suma 98 preseas,6932,2845,4183,0.988764,100.77
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-leidsa-del-miercoles-29-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del miércoles 29 de julio en RD,6305,2464,3564,0.993827,81.09
anterior,2026-07-09,2026-07-25,/technology/devices/el-iphone-18-pro-max-tendria-cuatro-camaras-las-novedades-del-proximo-telefono-de-apple/,¿El iPhone 18 Pro Max tendrá cuatro cámaras? Esto revelan las filtraciones,6277,2819,3575,0.975944,104.38
actual,2026-07-26,2026-08-11,/p/codigo-postal-santo-domingo/,Código postal en Santo Domingo: consulta la lista,5874,2340,3149,0.976818,65.94
anterior,2026-07-09,2026-07-25,/p/codigo-postal-santo-domingo/,Código postal en Santo Domingo: consulta la lista,5789,2262,3097,0.986438,75.45
anterior,2026-07-09,2026-07-25,/technology/devices/como-sera-el-iphone-18-pro-todo-sobre-las-polemicas-modificaciones-fisicas-que-planea-apple/,iPhone 18 Pro: los cambios de diseño que prepara Apple en 2026,5696,2435,3204,0.966604,153.83
anterior,2026-07-09,2026-07-25,/technology/devices/cuando-sale-el-iphone-18-y-que-cambios-traera-el-nuevo-telefono-de-apple/,¿Cuándo sale el iPhone 18 y qué cambios traerá el nuevo teléfono de Apple? - Revista Mercado,5393,2389,2953,0.978327,163.82
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/autopista-ambar-santiago-puerto-plata-rd/,¿Cómo será la nueva autopista entre Santiago y Puerto Plata?,5251,2346,3376,0.990818,156.93
anterior,2026-07-09,2026-07-25,/empresas/sport-business/quien-ganara-la-copa-del-mundo-2026-asi-marcha-el-power-ranking-de-selecciones-en-los-cuartos-de-final/,Mundial 2026: estos son los favoritos para levantar la Copa,5102,2297,3036,0.983531,119.84
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-las-loterias-del-28-de-julio-de-2026-en-republica-dominicana/,Resultados de las loterías del 28 de julio de 2026 en República Dominicana - Revista Mercado,5093,1949,3114,0.995183,86.79
actual,2026-07-26,2026-08-11,/technology/devices/iphone-18-filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento/,iPhone 18: estas serían sus principales novedades y precio,5003,2134,2763,0.972494,153.18
actual,2026-07-26,2026-08-11,/event-detail/agrotech-summit-2/,Agrotech Summit,4884,1810,2745,0.961749,129.65
anterior,2026-07-09,2026-07-25,/empresas/sport-business/fortuna-de-gianni-infantino-cuanto-gana-el-presidente-de-la-fifa-y-como-construyo-su-patrimonio-antes-del-mundial-2026/,Fortuna de Gianni Infantino: cuánto gana el presidente de la FIFA y cómo construyó su patrimonio antes del Mundial 2026 - Revista Mercado,4873,2147,2865,0.980803,154.71
actual,2026-07-26,2026-08-11,/actualidad/resultados-de-leidsa-del-sabado-1-de-agosto-de-2026-en-republica-dominicana/,Resultados de Leidsa del sábado 1 de agosto de 2026 en República Dominicana - Revista Mercado,4852,1853,2713,0.989311,104.01
anterior,2026-07-09,2026-07-25,/technology/devices/iphone-18-filtraciones-revelan-su-precio-cambios-en-las-camaras-y-fecha-de-lanzamiento/,iPhone 18: estas serían sus principales novedades y precio,4836,2115,2711,0.976024,165.56
anterior,2026-07-09,2026-07-25,/actualidad/mundial-2026-por-que-piden-repetir-la-final-del-mundial-entre-argentina-y-francia/,¿Se repetirá la final Argentina vs Francia? Esto dice la FIFA,4819,2210,3040,0.990461,52.75
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/de-quien-son-las-malvinas-realmente-las-claves-para-entender-la-disputa-entre-argentina-y-el-reino-unido/,¿De quién son las Islas Malvinas?,4783,2118,2975,0.970420,169.48
anterior,2026-07-09,2026-07-25,/actualidad/resultados-de-leidsa-del-sabado-18-de-julio-de-2026-en-republica-dominicana/,Resultados de Leidsa del sábado 18 de julio de 2026 en República Dominicana - Revista Mercado,4781,1821,2580,0.996124,90.91
actual,2026-07-26,2026-08-11,/actualidad/temblor-colombia-hoy-10-agosto-2026-magnitud-epicentro/,"Fuerte temblor sacudió a Colombia este lunes: fue de magnitud 6,7",4638,2031,2930,0.959727,131.56
anterior,2026-07-09,2026-07-25,/money-invest/daily-news/mundial-2030-y-2034-donde-y-cuando-se-jugaran-las-proximas-ediciones-de-la-copa-del-mundo/,FIFA confirma las sedes del Mundial 2030 y 2034,4325,1904,2597,0.958414,172.09
